"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","mun","disloc2005","disloc2011","disloc2017","lisnom08","X","edon.y","munn.y","escenario1","escenario2","escenario3","criterio8","cab","morena_clv1","panal_clv1","pan_clv1","prd_clv1","pri_iee1","pvem_clv1","iee2","mc_clv2","morena_clv2","morena_iee2","panal_clv2","panal_iee2","pan_clv2","pan_iee2","pes_clv2","pes_iee2","ph_clv2","ph_iee2","prd_clv2","pri_clv2","pri_iee2","pt_clv2","pt_iee2","pvem_clv2","pvem_iee2","prd_iee2","esc1_morCLV1","esc1_panalCLV1","esc1_panCLV1","esc1_prdCLV1","esc1_priIEE1","esc1_pvemCLV1","esc2_IEE2","esc2_mcCLV2","esc2_morCLV2","esc2_morIEE2","esc2_panalCLV2","esc2_panalIEE2","esc2_panCLV2","esc2_panIEE2","esc2_pesCLV2","esc2_pesIEE2","esc2_phCLV2","esc2_phIEE2","esc2_prdCLV2","esc2_priIEE2","esc2_ptCLV2","esc2_ptIEE2","esc2_pvemCLV2","esc2_pvemIEE2","esc2_prdIEE2","SQ","dsiSQ_E1","dsiSQ_E3"
12,2,5,"coa",4,1,1,1,"Acuña",19,15,1,673,236,5,2,5,5,3,1,"acuña",4,4,10,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.798,0.798
13,2,5,"coa",4,1,1,1,"Acuña",19,15,1,581,237,5,2,5,5,3,1,"acuña",4,4,10,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.798,0.798
14,2,5,"coa",4,1,1,1,"Acuña",19,15,1,510,238,5,2,5,5,3,1,"acuña",4,4,10,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.798,0.798
15,2,5,"coa",4,1,1,1,"Acuña",19,15,1,596,239,5,2,5,5,3,1,"acuña",4,4,10,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.798,0.798
16,2,5,"coa",4,1,1,1,"Acuña",19,15,1,629,240,5,2,5,5,3,1,"acuña",4,4,10,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.798,0.798
17,2,5,"coa",4,1,1,1,"Acuña",19,15,1,628,241,5,2,5,5,3,1,"acuña",4,4,10,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.798,0.798
18,2,5,"coa",4,1,1,1,"Acuña",19,15,1,655,242,5,2,5,5,3,1,"acuña",4,4,10,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.798,0.798
19,2,5,"coa",4,1,1,1,"Acuña",19,15,1,717,243,5,2,5,5,3,1,"acuña",4,4,10,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.798,0.798
20,2,5,"coa",4,1,1,1,"Acuña",19,15,1,705,244,5,2,5,5,3,1,"acuña",4,4,10,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.798,0.798
21,2,5,"coa",4,1,1,1,"Acuña",19,15,1,687,245,5,2,5,5,3,1,"acuña",4,4,10,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.798,0.798
22,2,5,"coa",4,1,1,1,"Acuña",19,15,1,578,246,5,2,5,5,3,1,"acuña",4,4,10,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.798,0.798
23,2,5,"coa",4,1,1,1,"Acuña",19,15,1,497,247,5,2,5,5,3,1,"acuña",4,4,10,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.798,0.798
24,2,5,"coa",4,1,1,1,"Acuña",19,15,1,458,248,5,2,5,5,3,1,"acuña",4,4,10,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.798,0.798
25,2,5,"coa",4,1,1,1,"Acuña",19,15,1,737,249,5,2,5,5,3,1,"acuña",4,4,10,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.798,0.798
26,2,5,"coa",4,1,1,1,"Acuña",19,15,1,399,250,5,2,5,5,3,1,"acuña",4,4,10,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.798,0.798
27,2,5,"coa",4,1,1,1,"Acuña",19,15,1,593,251,5,2,5,5,3,1,"acuña",4,4,10,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.798,0.798
28,2,5,"coa",4,1,1,1,"Acuña",19,15,1,534,252,5,2,5,5,3,1,"acuña",4,4,10,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.798,0.798
29,2,5,"coa",4,1,1,1,"Acuña",19,15,1,656,253,5,2,5,5,3,1,"acuña",4,4,10,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.798,0.798
30,2,5,"coa",4,1,1,1,"Acuña",19,15,1,740,254,5,2,5,5,3,1,"acuña",4,4,10,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.798,0.798
31,2,5,"coa",4,1,1,1,"Acuña",19,15,1,725,255,5,2,5,5,3,1,"acuña",4,4,10,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.798,0.798
32,2,5,"coa",4,1,1,1,"Acuña",19,15,1,612,256,5,2,5,5,3,1,"acuña",4,4,10,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.798,0.798
33,2,5,"coa",4,1,1,1,"Acuña",19,15,1,728,257,5,2,5,5,3,1,"acuña",4,4,10,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.798,0.798
34,2,5,"coa",4,1,1,1,"Acuña",19,15,1,731,258,5,2,5,5,3,1,"acuña",4,4,10,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.798,0.798
35,2,5,"coa",4,1,1,1,"Acuña",19,15,1,628,259,5,2,5,5,3,1,"acuña",4,4,10,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.798,0.798
36,2,5,"coa",4,1,1,1,"Acuña",19,15,1,535,260,5,2,5,5,3,1,"acuña",4,4,10,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.798,0.798
37,2,5,"coa",4,1,1,1,"Acuña",19,15,1,594,261,5,2,5,5,3,1,"acuña",4,4,10,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.798,0.798
40,2,5,"coa",4,1,1,1,"Acuña",19,15,1,NA,262,5,2,5,5,3,1,"acuña",4,4,10,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.798,0.798
41,2,5,"coa",4,1,1,1,"Acuña",19,15,1,658,263,5,2,5,5,3,1,"acuña",4,4,10,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.798,0.798
42,3,5,"coa",3,1,1,3,"Allende",17,14,5,703,465,5,3,6,6,5,5,"monclova",4,4,10,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.556,0.41
43,3,5,"coa",3,1,1,3,"Allende",17,14,5,676,466,5,3,6,6,5,5,"monclova",4,4,10,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.556,0.41
44,3,5,"coa",3,1,1,3,"Allende",17,14,5,542,467,5,3,6,6,5,5,"monclova",4,4,10,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.556,0.41
45,3,5,"coa",3,1,1,3,"Allende",17,14,5,463,468,5,3,6,6,5,5,"monclova",4,4,10,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.556,0.41
46,3,5,"coa",3,1,1,3,"Allende",17,14,5,509,469,5,3,6,6,5,5,"monclova",4,4,10,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.556,0.41
47,3,5,"coa",3,1,1,3,"Allende",17,14,5,691,470,5,3,6,6,5,5,"monclova",4,4,10,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.556,0.41
48,3,5,"coa",3,1,1,3,"Allende",17,14,5,375,471,5,3,6,6,5,5,"monclova",4,4,10,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.556,0.41
49,3,5,"coa",3,1,1,3,"Allende",17,14,5,640,472,5,3,6,6,5,5,"monclova",4,4,10,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.556,0.41
50,3,5,"coa",3,1,1,3,"Allende",17,14,5,679,473,5,3,6,6,5,5,"monclova",4,4,10,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.556,0.41
51,3,5,"coa",3,1,1,3,"Allende",17,14,5,681,474,5,3,6,6,5,5,"monclova",4,4,10,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.556,0.41
52,3,5,"coa",3,1,1,3,"Allende",17,14,5,728,475,5,3,6,6,5,5,"monclova",4,4,10,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.556,0.41
53,3,5,"coa",3,1,1,3,"Allende",17,14,5,439,476,5,3,6,6,5,5,"monclova",4,4,10,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.556,0.41
54,3,5,"coa",3,1,1,3,"Allende",17,14,5,663,477,5,3,6,6,5,5,"monclova",4,4,10,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.556,0.41
55,3,5,"coa",3,1,1,3,"Allende",17,14,5,662,478,5,3,6,6,5,5,"monclova",4,4,10,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.556,0.41
56,3,5,"coa",3,1,1,3,"Allende",17,14,5,135,479,5,3,6,6,5,5,"monclova",4,4,10,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.556,0.41
57,4,5,"coa",5,4,3,4,"Arteaga",6,5,12,703,1084,5,4,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81,1
58,4,5,"coa",5,4,3,4,"Arteaga",6,5,12,538,1085,5,4,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81,1
59,4,5,"coa",5,4,3,4,"Arteaga",6,5,12,516,1086,5,4,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81,1
60,4,5,"coa",5,4,3,4,"Arteaga",6,5,12,53,1087,5,4,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81,1
61,4,5,"coa",5,4,3,4,"Arteaga",6,5,12,160,1088,5,4,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81,1
62,4,5,"coa",5,4,3,4,"Arteaga",6,5,12,107,1089,5,4,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81,1
63,4,5,"coa",5,4,3,4,"Arteaga",6,5,12,431,1090,5,4,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81,1
64,4,5,"coa",5,4,3,4,"Arteaga",6,5,12,636,1091,5,4,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81,1
65,4,5,"coa",5,4,3,4,"Arteaga",6,5,12,70,1092,5,4,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81,1
66,4,5,"coa",5,4,3,4,"Arteaga",6,5,12,567,1093,5,4,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81,1
67,4,5,"coa",5,4,3,4,"Arteaga",6,5,12,127,1094,5,4,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81,1
68,4,5,"coa",5,4,3,4,"Arteaga",6,5,12,273,1095,5,4,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81,1
69,4,5,"coa",5,4,3,4,"Arteaga",6,5,12,565,1096,5,4,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81,1
70,4,5,"coa",5,4,3,4,"Arteaga",6,5,12,457,1097,5,4,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81,1
71,4,5,"coa",5,4,3,4,"Arteaga",6,5,12,179,1098,5,4,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81,1
72,4,5,"coa",5,4,3,4,"Arteaga",6,5,12,170,1099,5,4,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81,1
73,4,5,"coa",5,4,3,4,"Arteaga",6,5,12,219,1100,5,4,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81,1
74,4,5,"coa",5,4,3,4,"Arteaga",6,5,12,442,1101,5,4,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81,1
75,4,5,"coa",5,4,3,4,"Arteaga",6,5,12,545,1102,5,4,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81,1
76,4,5,"coa",5,4,3,4,"Arteaga",6,5,12,171,1103,5,4,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81,1
77,4,5,"coa",5,4,3,4,"Arteaga",6,5,12,176,1104,5,4,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81,1
78,4,5,"coa",5,4,3,4,"Arteaga",6,5,12,721,1105,5,4,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81,1
79,4,5,"coa",5,4,3,4,"Arteaga",6,5,12,686,1106,5,4,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81,1
80,4,5,"coa",5,4,3,4,"Arteaga",6,5,12,312,1107,5,4,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81,1
81,5,5,"coa",3,3,3,3,"Candela",16,12,5,448,480,5,5,6,6,5,5,"monclova",1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.556,0.41
