"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2018","disloc2011","X","edon.y","munn.y","escenario1","escenario2","escenario3","mc_clv1","mc_iee1","morena_clv1","morena_iee1","prd_clv1","prd_iee1","pri_clv1","pt_clv1","mc_clv2","morena_clv2","panal_clv2","pan_clv2","pes_clv2","ph_iee2","prd_clv2","pri_clv2","prs_iee2","pt_clv2","pvem_clv2","esc1_mcCLV1","esc1_mcIEE1","esc1_morCLV1","esc1_morIEE1","esc1_prdCLV1","esc1_prdIEE1","esc1_priCLV1","esc1_ptCLV1","esc2_mcCLV2","esc2_morCLV2","esc2_panalCLV2","esc2_panCLV2","esc2_pesCLV2","esc2_phIEE2","esc2_prdCLV2","esc2_priCLV2","esc2_prsIEE2","esc2_ptCLV2","esc2_pvemCLV2","SQ","dsiSQ_E1","dsiSQ_E3"
1,1,3,"bcs",2,1,1,1,4,9,1,3,1,4,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,11,0.319,0.396
2,1,3,"bcs",2,1,1,1,4,9,2,3,1,4,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,11,0.319,0.396
3,1,3,"bcs",2,1,1,1,4,9,3,3,1,2,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,11,0.484,0.396
4,1,3,"bcs",2,1,1,1,4,9,4,3,1,2,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,11,0.484,0.396
5,1,3,"bcs",2,1,1,1,4,9,5,3,1,2,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,11,0.484,0.396
6,1,3,"bcs",2,1,1,1,4,9,6,3,1,4,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,11,0.319,0.396
7,1,3,"bcs",2,1,1,1,4,9,7,3,1,4,4,4,2,2,2,2,2,2,8,2,4,4,4,2,2,2,2,4,2,4,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,11,0.319,0.396
8,1,3,"bcs",2,1,1,1,4,9,8,3,1,2,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,11,0.484,0.396
9,1,3,"bcs",2,1,1,1,4,9,9,3,1,2,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,11,0.484,0.396
10,1,3,"bcs",2,1,1,1,4,9,10,3,1,2,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,11,0.484,0.396
11,1,3,"bcs",2,1,1,1,2,9,11,3,1,2,2,2,1,1,1,1,1,1,8,1,2,2,2,1,1,1,1,2,1,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,10,0.484,0.455
12,1,3,"bcs",2,1,1,1,2,9,12,3,1,2,2,2,1,1,1,1,1,1,8,1,2,2,2,1,1,1,1,2,1,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,10,0.484,0.455
13,1,3,"bcs",2,1,1,1,2,9,13,3,1,4,2,2,1,1,1,1,1,1,8,1,2,2,2,1,1,1,1,2,1,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,10,0.319,0.455
14,1,3,"bcs",2,1,1,1,2,9,14,3,1,2,2,2,1,1,1,1,1,1,8,1,2,2,2,1,1,1,1,2,1,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,10,0.484,0.455
15,1,3,"bcs",2,1,1,1,2,9,15,3,1,2,2,2,1,1,1,1,1,1,8,1,2,2,2,1,1,1,1,2,1,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,10,0.484,0.455
16,1,3,"bcs",2,1,1,1,2,9,16,3,1,2,2,2,1,1,1,1,1,1,8,1,2,2,2,1,1,1,1,2,1,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,10,0.484,0.455
17,1,3,"bcs",2,1,1,1,2,9,17,3,1,2,2,2,1,1,1,1,1,1,8,1,2,2,2,1,1,1,1,2,1,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,10,0.484,0.455
18,1,3,"bcs",2,1,1,1,4,10,18,3,1,2,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,11,0.484,0.396
19,1,3,"bcs",2,1,1,1,4,10,19,3,1,2,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,11,0.484,0.396
20,1,3,"bcs",2,1,1,1,2,10,20,3,1,2,2,2,1,1,1,1,1,1,13,1,2,2,2,1,1,1,1,2,1,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,10,0.484,0.455
21,1,3,"bcs",2,1,1,1,2,10,21,3,1,2,2,2,1,1,1,1,1,1,8,1,2,2,2,1,1,1,1,2,1,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,10,0.484,0.455
22,1,3,"bcs",2,1,1,1,2,10,22,3,1,2,2,2,1,1,1,1,1,1,13,1,2,2,2,1,1,1,1,2,1,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,10,0.484,0.455
23,1,3,"bcs",2,1,1,1,2,10,23,3,1,2,2,2,1,1,1,1,1,1,8,1,2,2,2,1,1,1,1,2,1,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,10,0.484,0.455
24,1,3,"bcs",2,1,1,1,2,10,24,3,1,2,2,2,1,1,1,1,1,1,8,1,2,2,2,1,1,1,1,2,1,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,10,0.484,0.455
25,1,3,"bcs",2,1,1,1,2,10,25,3,1,2,2,2,1,1,1,1,1,1,8,1,2,2,2,1,1,1,1,2,1,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,10,0.484,0.455
26,1,3,"bcs",2,1,1,1,2,10,26,3,1,2,2,2,1,1,1,1,1,1,8,1,2,2,2,1,1,1,1,2,1,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,10,0.484,0.455
27,1,3,"bcs",2,1,1,1,2,10,27,3,1,2,2,2,1,1,1,1,1,1,8,1,2,2,2,1,1,1,1,2,1,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,10,0.484,0.455
28,1,3,"bcs",2,1,1,1,2,10,28,3,1,2,2,2,1,1,1,1,1,1,8,1,2,2,2,1,1,1,1,2,1,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,10,0.484,0.455
29,1,3,"bcs",2,1,1,1,2,10,29,3,1,2,2,2,1,1,1,1,1,1,8,1,2,2,2,1,1,1,1,2,1,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,10,0.484,0.455
30,1,3,"bcs",2,1,1,1,2,10,30,3,1,2,2,2,1,1,1,1,1,1,8,1,2,2,2,1,1,1,1,2,1,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,10,0.484,0.455
31,1,3,"bcs",2,1,1,1,2,10,31,3,1,2,2,2,1,1,1,1,1,1,8,1,2,2,2,1,1,1,1,2,1,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,10,0.484,0.455
32,1,3,"bcs",2,1,1,1,2,10,32,3,1,2,2,2,1,1,1,1,1,1,8,1,2,2,2,1,1,1,1,2,1,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,10,0.484,0.455
33,1,3,"bcs",2,1,1,1,2,9,33,3,1,4,2,2,1,1,1,1,1,1,8,1,2,2,2,1,1,1,1,2,1,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,10,0.319,0.455
34,1,3,"bcs",2,1,1,1,2,9,34,3,1,4,2,2,1,1,1,1,1,1,8,1,2,2,2,1,1,1,1,2,1,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,10,0.319,0.455
35,1,3,"bcs",2,1,1,1,2,9,35,3,1,4,2,2,1,1,1,1,1,1,8,1,2,2,2,1,1,1,1,2,1,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,10,0.319,0.455
36,1,3,"bcs",2,1,1,1,2,10,36,3,1,4,2,2,1,1,1,1,1,1,13,1,2,2,2,1,1,1,1,2,1,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,10,0.319,0.455
37,1,3,"bcs",2,1,1,1,4,10,37,3,1,4,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,11,0.319,0.396
38,1,3,"bcs",2,1,1,1,4,10,38,3,1,4,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,11,0.319,0.396
39,1,3,"bcs",2,1,1,1,2,10,39,3,1,4,2,2,1,1,1,1,1,1,8,1,2,2,2,1,1,1,1,2,1,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,10,0.319,0.455
40,1,3,"bcs",2,1,1,1,4,11,40,3,1,4,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,11,0.319,0.396
41,1,3,"bcs",2,1,1,1,4,11,41,3,1,4,4,4,2,2,2,2,2,2,6,2,4,4,4,2,2,2,2,4,2,4,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,11,0.319,0.396
42,1,3,"bcs",2,1,1,1,4,11,42,3,1,4,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,11,0.319,0.396
43,1,3,"bcs",2,1,1,1,4,11,43,3,1,4,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,11,0.319,0.396
44,1,3,"bcs",2,1,1,1,4,11,44,3,1,4,4,4,2,2,2,2,2,2,6,2,4,4,4,2,2,2,2,4,2,4,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,11,0.319,0.396
45,1,3,"bcs",2,1,1,1,4,11,45,3,1,4,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,11,0.319,0.396
46,1,3,"bcs",2,1,1,1,4,11,46,3,1,4,4,4,2,2,2,2,2,2,6,2,4,4,4,2,2,2,2,4,2,4,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,11,0.319,0.396
47,1,3,"bcs",2,1,1,1,4,11,47,3,1,4,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,11,0.319,0.396
48,1,3,"bcs",2,1,1,1,4,11,48,3,1,3,4,4,2,2,2,2,2,2,6,2,4,4,4,2,2,2,2,4,2,4,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,11,0.295,0.396
49,1,3,"bcs",2,1,1,1,4,11,49,3,1,4,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,11,0.319,0.396
50,1,3,"bcs",2,1,1,1,4,11,50,3,1,4,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,11,0.319,0.396
51,1,3,"bcs",2,1,1,1,4,11,51,3,1,4,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,11,0.319,0.396
52,1,3,"bcs",2,1,1,1,4,11,52,3,1,4,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,11,0.319,0.396
53,1,3,"bcs",2,1,1,1,4,11,53,3,1,4,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,11,0.319,0.396
54,1,3,"bcs",2,1,1,1,4,11,54,3,1,4,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,11,0.319,0.396
55,1,3,"bcs",2,1,1,1,4,11,55,3,1,3,4,4,2,2,2,2,2,2,6,2,4,4,4,2,2,2,2,4,2,4,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,11,0.295,0.396
56,1,3,"bcs",2,1,1,1,4,11,56,3,1,3,4,4,2,2,2,2,2,2,6,2,4,4,4,2,2,2,2,4,2,4,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,11,0.295,0.396
57,1,3,"bcs",2,1,1,1,4,11,57,3,1,3,4,4,2,2,2,2,2,2,6,2,4,4,4,2,2,2,2,4,2,4,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,11,0.295,0.396
58,1,3,"bcs",2,1,1,1,4,11,58,3,1,3,4,4,2,2,2,2,2,2,6,2,4,4,4,2,2,2,2,4,2,4,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,11,0.295,0.396
59,1,3,"bcs",2,1,1,1,2,11,59,3,1,3,2,2,1,1,1,1,1,1,6,1,2,2,2,1,1,1,1,2,1,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,10,0.295,0.455
60,1,3,"bcs",2,1,1,1,2,11,60,3,1,3,2,2,1,1,1,1,1,1,6,1,2,2,2,1,1,1,1,2,1,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,10,0.295,0.455
61,1,3,"bcs",2,1,1,1,2,11,61,3,1,3,2,2,1,1,1,1,1,1,6,1,2,2,2,1,1,1,1,2,1,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,10,0.295,0.455
62,1,3,"bcs",2,1,1,1,2,11,62,3,1,3,2,2,1,1,1,1,1,1,6,1,2,2,2,1,1,1,1,2,1,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,10,0.295,0.455
63,1,3,"bcs",2,1,1,1,4,12,63,3,1,3,4,4,2,2,2,2,2,2,6,2,4,4,4,2,2,2,2,4,2,4,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,11,0.295,0.396
66,1,3,"bcs",2,1,1,1,4,12,64,3,1,3,4,4,2,2,2,2,2,2,6,2,4,4,4,2,2,2,2,4,2,4,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,11,0.295,0.396
67,1,3,"bcs",2,1,1,1,4,12,65,3,1,3,4,4,2,2,2,2,2,2,6,2,4,4,4,2,2,2,2,4,2,4,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,11,0.295,0.396
68,1,3,"bcs",2,1,1,1,4,12,66,3,1,3,4,4,2,2,2,2,2,2,6,2,4,4,4,2,2,2,2,4,2,4,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,11,0.295,0.396
69,1,3,"bcs",2,1,1,1,4,12,67,3,1,3,4,4,2,2,2,2,2,2,6,2,4,4,4,2,2,2,2,4,2,4,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,11,0.295,0.396
70,1,3,"bcs",2,1,1,1,4,12,68,3,1,3,4,4,2,2,2,2,2,2,6,2,4,4,4,2,2,2,2,4,2,4,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,11,0.295,0.396
71,1,3,"bcs",2,1,1,1,4,12,69,3,1,3,4,4,2,2,2,2,2,2,6,2,4,4,4,2,2,2,2,4,2,4,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,11,0.295,0.396
72,1,3,"bcs",2,1,1,1,4,12,70,3,1,3,4,4,2,2,2,2,2,2,6,2,4,4,4,2,2,2,2,4,2,4,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,11,0.295,0.396
73,1,3,"bcs",2,1,1,1,4,12,71,3,1,3,4,4,2,2,2,2,2,2,6,2,4,4,4,2,2,2,2,4,2,4,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,11,0.295,0.396
74,1,3,"bcs",2,1,1,1,4,12,72,3,1,4,4,4,2,2,2,2,2,2,13,2,4,4,4,2,2,2,2,4,2,4,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,11,0.319,0.396
75,2,3,"bcs",2,1,1,1,1,13,73,3,2,1,1,1,3,3,3,3,3,3,6,3,1,1,1,3,3,3,3,1,3,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,13,0.6,0.531
76,2,3,"bcs",2,1,1,1,1,13,74,3,2,1,1,1,3,3,3,3,3,3,6,3,1,1,1,3,3,3,3,1,3,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,13,0.6,0.531
77,2,3,"bcs",2,1,1,1,1,13,75,3,2,1,1,1,3,3,3,3,3,3,6,3,1,1,1,3,3,3,3,1,3,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,13,0.6,0.531
78,2,3,"bcs",2,1,1,1,1,13,76,3,2,1,1,1,3,3,3,3,3,3,6,3,1,1,1,3,3,3,3,1,3,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,13,0.6,0.531
79,2,3,"bcs",2,1,1,1,1,13,77,3,2,3,1,1,3,3,3,3,3,3,6,3,1,1,1,3,3,3,3,1,3,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,13,0.295,0.531
80,2,3,"bcs",2,1,1,1,1,13,78,3,2,3,1,1,3,3,3,3,3,3,6,3,1,1,1,3,3,3,3,1,3,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,13,0.295,0.531
81,2,3,"bcs",2,1,1,1,1,13,79,3,2,1,1,1,3,3,3,3,3,3,6,3,1,1,1,3,3,3,3,1,3,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,13,0.6,0.531
82,2,3,"bcs",2,1,1,1,1,13,80,3,2,1,1,1,3,3,3,3,3,3,6,3,1,1,1,3,3,3,3,1,3,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,13,0.6,0.531
83,2,3,"bcs",2,1,1,1,1,13,81,3,2,3,1,1,3,3,3,3,3,3,6,3,1,1,1,3,3,3,3,1,3,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,13,0.295,0.531
84,2,3,"bcs",2,1,1,1,1,13,82,3,2,3,1,1,3,3,3,3,3,3,6,3,1,1,1,3,3,3,3,1,3,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,13,0.295,0.531
85,2,3,"bcs",2,1,1,1,1,13,83,3,2,3,1,1,3,3,3,3,3,3,6,3,1,1,1,3,3,3,3,1,3,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,13,0.295,0.531
86,2,3,"bcs",2,1,1,1,1,13,84,3,2,3,1,1,3,3,3,3,3,3,6,3,1,1,1,3,3,3,3,1,3,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,13,0.295,0.531
87,2,3,"bcs",2,1,1,1,1,13,85,3,2,3,1,1,3,3,3,3,3,3,6,3,1,1,1,3,3,3,3,1,3,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,13,0.295,0.531
88,2,3,"bcs",2,1,1,1,1,13,86,3,2,3,1,1,3,3,3,3,3,3,6,3,1,1,1,3,3,3,3,1,3,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,13,0.295,0.531
89,2,3,"bcs",2,1,1,1,1,13,87,3,2,3,1,1,3,3,3,3,3,3,6,3,1,1,1,3,3,3,3,1,3,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,13,0.295,0.531
90,2,3,"bcs",2,1,1,1,1,13,88,3,2,3,1,1,3,3,3,3,3,3,6,3,1,1,1,3,3,3,3,1,3,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,13,0.295,0.531
91,2,3,"bcs",2,1,1,1,1,13,89,3,2,3,1,1,3,3,3,3,3,3,6,3,1,1,1,3,3,3,3,1,3,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,13,0.295,0.531
92,2,3,"bcs",2,1,1,1,3,14,90,3,2,1,3,3,4,4,4,4,4,4,1,4,3,3,3,4,4,4,4,3,4,3,3,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,14,0.6,0.522
93,2,3,"bcs",2,1,1,1,3,14,91,3,2,1,3,3,4,4,4,4,4,4,1,4,3,3,3,4,4,4,4,3,4,3,3,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,14,0.6,0.522
94,2,3,"bcs",2,1,1,1,3,14,92,3,2,1,3,3,4,4,4,4,4,4,1,4,3,3,3,4,4,4,4,3,4,3,3,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,14,0.6,0.522
95,2,3,"bcs",2,1,1,1,3,14,93,3,2,1,3,3,4,4,4,4,4,4,1,4,3,3,3,4,4,4,4,3,4,3,3,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,14,0.6,0.522
96,2,3,"bcs",2,1,1,1,3,14,94,3,2,1,3,3,4,4,4,4,4,4,1,4,3,3,3,4,4,4,4,3,4,3,3,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,14,0.6,0.522
97,2,3,"bcs",2,1,1,1,3,14,95,3,2,1,3,3,4,4,4,4,4,4,1,4,3,3,3,4,4,4,4,3,4,3,3,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,14,0.6,0.522
98,2,3,"bcs",2,1,1,1,3,14,96,3,2,1,3,3,4,4,4,4,4,4,1,4,3,3,3,4,4,4,4,3,4,3,3,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,14,0.6,0.522
99,2,3,"bcs",2,1,1,1,3,14,97,3,2,1,3,3,4,4,4,4,4,4,1,4,3,3,3,4,4,4,4,3,4,3,3,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,14,0.6,0.522
101,2,3,"bcs",2,1,1,1,3,14,98,3,2,1,3,3,4,4,4,4,4,4,1,4,3,3,3,4,4,4,4,3,4,3,3,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,14,0.6,0.522
102,2,3,"bcs",2,1,1,1,3,14,99,3,2,1,3,3,4,4,4,4,4,4,1,4,3,3,3,4,4,4,4,3,4,3,3,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,14,0.6,0.522
103,2,3,"bcs",2,1,1,1,3,14,100,3,2,1,3,3,4,4,4,4,4,4,1,4,3,3,3,4,4,4,4,3,4,3,3,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,14,0.6,0.522
104,2,3,"bcs",2,1,1,1,3,14,101,3,2,1,3,3,4,4,4,4,4,4,1,4,3,3,3,4,4,4,4,3,4,3,3,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,14,0.6,0.522
105,2,3,"bcs",2,1,1,1,3,15,102,3,2,3,3,3,4,4,4,4,4,4,1,4,3,3,3,4,4,4,4,3,4,3,3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,14,0.295,0.522
107,2,3,"bcs",2,1,1,1,3,15,103,3,2,3,3,3,4,4,4,4,4,4,1,4,3,3,3,4,4,4,4,3,4,3,3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,14,0.295,0.522
108,2,3,"bcs",2,1,1,1,3,15,104,3,2,3,3,3,4,4,4,4,4,4,1,4,3,3,3,4,4,4,4,3,4,3,3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,14,0.295,0.522
109,2,3,"bcs",2,1,1,1,3,15,105,3,2,3,3,3,4,4,4,4,4,4,1,4,3,3,3,4,4,4,4,3,4,3,3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,14,0.295,0.522
110,2,3,"bcs",2,1,1,1,3,15,106,3,2,1,3,3,4,4,4,4,4,4,1,4,3,3,3,4,4,4,4,3,4,3,3,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,14,0.6,0.522
111,2,3,"bcs",2,1,1,1,1,15,107,3,2,1,1,1,3,3,3,3,3,3,1,3,1,1,1,3,3,3,3,1,3,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,13,0.6,0.531
112,2,3,"bcs",2,1,1,1,3,15,108,3,2,3,3,3,3,3,4,4,3,3,6,4,3,3,1,4,4,4,4,1,4,3,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,14,0.295,0.522
113,2,3,"bcs",2,1,1,1,3,15,109,3,2,3,3,3,4,4,4,4,4,4,1,4,3,3,3,4,4,4,4,3,4,3,3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,14,0.295,0.522
114,2,3,"bcs",2,1,1,1,3,15,110,3,2,3,3,3,4,4,4,4,4,4,1,4,3,3,3,4,4,4,4,3,4,3,3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,14,0.295,0.522
115,2,3,"bcs",2,1,1,1,3,15,111,3,2,3,3,3,4,4,4,4,4,4,1,4,3,3,3,4,4,4,4,3,4,3,3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,14,0.295,0.522
116,2,3,"bcs",2,1,1,1,3,15,112,3,2,3,3,3,4,4,4,4,4,4,1,4,3,3,3,4,4,4,4,3,4,3,3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,14,0.295,0.522
